"Customer_id","unique_identifier"
"C241288","1288"
"C111565","1565"
"C988172","8172"
"C657758","7758"
"C362288","2288"
"C313348","3348"
"C192344","2344"
"C447138","7138"
"C176727","6727"
"C232624","2624"
"C164092","4092"
"C245456","5456"
"C607615","7615"
"C120164","0164"
"C241642","1642"
"C626042","6042"
"C962515","2515"
"C336576","6576"
"C439382","9382"
"C123427","3427"
"C236859","6859"
"C309926","9926"
"C136117","6117"
"C199947","9947"
"C135790","5790"
"C218383","8383"
"C309438","9438"
"C992677","2677"
"C584700","4700"
"C183011","3011"
"C189493","9493"
"C324683","4683"
"C307921","7921"
"C204174","4174"
"C279370","9370"
"C907582","7582"
"C276043","6043"
"C274870","4870"
"C255058","5058"
"C150594","0594"
"C200826","0826"
"C651699","1699"
"C989693","9693"
"C178734","8734"
"C223010","3010"
"C269623","9623"
"C556552","6552"
"C978718","8718"
"C208108","8108"
"C911768","1768"
"C270129","0129"
"C220281","0281"
"C172966","2966"
"C526660","6660"
"C192978","2978"
"C671866","1866"
"C848969","8969"
"C256730","6730"
"C316398","6398"
"C662958","2958"
"C545065","5065"
"C726021","6021"
"C616106","6106"
"C771066","1066"
"C372643","2643"
"C622748","2748"
"C826744","6744"
"C252021","2021"
"C647656","7656"
"C250065","0065"
"C204632","4632"
"C340089","0089"
"C555040","5040"
"C809281","9281"
"C375325","5325"
"C225051","5051"
"C165705","5705"
"C242659","2659"
"C194451","4451"
"C309645","9645"
"C221838","1838"
"C208738","8738"
"C296862","6862"
"C101550","1550"
"C329163","9163"
"C236428","6428"
"C617884","7884"
"C294024","4024"
"C790567","0567"
"C144628","4628"
"C238063","8063"
"C944366","4366"
"C462011","2011"
"C212400","2400"
"C244973","4973"
"C321053","1053"
"C567509","7509"
"C306892","6892"
"C545424","5424"
"C144371","4371"
"C402433","2433"
"C333065","3065"
"C211494","1494"
"C282397","2397"
"C129976","9976"
"C433234","3234"
"C311195","1195"
"C220859","0859"
"C217049","7049"
"C141094","1094"
"C310628","0628"
"C335822","5822"
"C653357","3357"
"C229733","9733"
"C111115","1115"
"C162574","2574"
"C291911","1911"
"C387164","7164"
"C259260","9260"
"C308978","8978"
"C258089","8089"
"C209440","9440"
"C195413","5413"
"C432132","2132"
"C289802","9802"
"C194330","4330"
"C109491","9491"
"C330021","0021"
"C100507","0507"
"C203955","3955"
"C218295","8295"
"C838282","8282"
"C167158","7158"
"C139231","9231"
"C354398","4398"
"C474896","4896"
"C222262","2262"
"C316261","6261"
"C178487","8487"
"C205731","5731"
"C171122","1122"
"C644605","4605"
"C387282","7282"
"C145797","5797"
"C162986","2986"
"C163444","3444"
"C533520","3520"
"C219299","9299"
"C247547","7547"
"C217919","7919"
"C279747","9747"
"C113739","3739"
"C245894","5894"
"C222949","2949"
"C336400","6400"
"C121707","1707"
"C297610","7610"
"C319935","9935"
"C217834","7834"
"C322689","2689"
"C210236","0236"
"C297118","7118"
"C314705","4705"
"C282520","2520"
"C319624","9624"
"C140543","0543"
"C103896","3896"
"C198568","8568"
"C215210","5210"
"C303444","3444"
"C506925","6925"
"C190939","0939"
"C129849","9849"
"C506663","6663"
"C781893","1893"
"C307592","7592"
"C283381","3381"
"C246641","6641"
"C312617","2617"
"C289918","9918"
"C322924","2924"
"C690345","0345"
"C247049","7049"
"C280253","0253"
"C131819","1819"
"C114347","4347"
"C697667","7667"
"C129039","9039"
"C297404","7404"
"C105060","5060"
"C182606","2606"
"C157218","7218"
"C807852","7852"
"C310310","0310"
"C247694","7694"
"C207443","7443"
"C216194","6194"
"C323349","3349"
"C180375","0375"
"C196813","6813"
"C242182","2182"
"C331182","1182"
"C206713","6713"
"C376889","6889"
"C293191","3191"
