"Shopping_Mall","cleaned_shopping_mall"
"Kanyon","Kanyon"
"Forum Istanbul","Forum Istanbul"
"Metropol AVM","Metropol AVM"
"Forum Istanbul","Forum Istanbul"
"Viaport Outlet","Viaport Outlet"
"Kanyon","Kanyon"
"Emaar Square Mall","Emaar Square Mall"
"Cevahir AVM","Cevahir AVM"
"Kanyon","Kanyon"
"Metrocity","Metrocity"
"Zorlu Center","Zorlu Center"
"Kanyon","Kanyon"
"Metrocity","Metrocity"
"Kanyon","Kanyon"
"Zorlu Center","Zorlu Center"
"Metrocity","Metrocity"
"Kanyon","Kanyon"
"Mall of Istanbul","Mall of Istanbul"
"Kanyon","Kanyon"
"Mall of Istanbul","Mall of Istanbul"
"Mall of Istanbul","Mall of Istanbul"
"Forum Istanbul","Forum Istanbul"
"Emaar Square Mall","Emaar Square Mall"
"Kanyon","Kanyon"
"Metrocity","Metrocity"
"Zorlu Center","Zorlu Center"
"Mall of Istanbul","Mall of Istanbul"
"Metropol AVM","Metropol AVM"
"Kanyon","Kanyon"
"Metropol AVM","Metropol AVM"
"Viaport Outlet","Viaport Outlet"
"Kanyon","Kanyon"
"Viaport Outlet","Viaport Outlet"
"Mall of Istanbul","Mall of Istanbul"
"Cevahir AVM","Cevahir AVM"
"Mall of Istanbul","Mall of Istanbul"
"Zorlu Center","Zorlu Center"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Mall of Istanbul","Mall of Istanbul"
"Metropol AVM","Metropol AVM"
"Kanyon","Kanyon"
"Metropol AVM","Metropol AVM"
"Mall of Istanbul","Mall of Istanbul"
"Cevahir AVM","Cevahir AVM"
"Emaar Square Mall","Emaar Square Mall"
"Metropol AVM","Metropol AVM"
"Viaport Outlet","Viaport Outlet"
"Cevahir AVM","Cevahir AVM"
"Viaport Outlet","Viaport Outlet"
"Metrocity","Metrocity"
"Zorlu Center","Zorlu Center"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Metropol AVM","Metropol AVM"
"Zorlu Center","Zorlu Center"
"Mall of Istanbul","Mall of Istanbul"
"Metropol AVM","Metropol AVM"
"Metropol AVM","Metropol AVM"
"Mall of Istanbul","Mall of Istanbul"
"Zorlu Center","Zorlu Center"
"Cevahir AVM","Cevahir AVM"
"Kanyon","Kanyon"
"Metropol AVM","Metropol AVM"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Metrocity","Metrocity"
"Metropol AVM","Metropol AVM"
"Kanyon","Kanyon"
"Mall of Istanbul","Mall of Istanbul"
"Viaport Outlet","Viaport Outlet"
"Emaar Square Mall","Emaar Square Mall"
"Metropol AVM","Metropol AVM"
"Kanyon","Kanyon"
"Mall of Istanbul","Mall of Istanbul"
"Metropol AVM","Metropol AVM"
"Kanyon","Kanyon"
"Forum Istanbul","Forum Istanbul"
"Forum Istanbul","Forum Istanbul"
"Kanyon","Kanyon"
"Mall of Istanbul","Mall of Istanbul"
"Istinye Park","Istinye Park"
"Viaport Outlet","Viaport Outlet"
"Mall of Istanbul","Mall of Istanbul"
"Istinye Park","Istinye Park"
"Metrocity","Metrocity"
"Mall of Istanbul","Mall of Istanbul"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Kanyon","Kanyon"
"Emaar Square Mall","Emaar Square Mall"
"Forum Istanbul","Forum Istanbul"
