"invoice_no","Revenue"
"I317333","5401.53"
"I173702","15004.25"
"I688768","15004.25"
"I217053","9602.72"
"I655874","5401.53"
"I768348","5401.53"
"I167211","9602.72"
"I826174","9602.72"
"I296025","5401.53"
"I402376","15004.25"
"I276526","15004.25"
"I115870","9602.72"
"I253242","15004.25"
"I103596","15004.25"
"I229355","15004.25"
"I202398","15004.25"
"I798213","5401.53"
"I204147","5401.53"
"I120948","9602.72"
"I227707","9602.72"
"I182578","9602.72"
"I254142","5401.53"
"I125700","15004.25"
"I232809","15004.25"
"I219334","9602.72"
"I533184","15004.25"
"I104404","5401.53"
"I263473","5401.53"
"I295482","5401.53"
"I873382","9602.72"
"I187160","15004.25"
"I648743","15004.25"
"I137332","9602.72"
"I332971","9602.72"
"I251311","9602.72"
"I295337","9602.72"
"I180570","15004.25"
"I103120","9602.72"
"I466698","5401.53"
"I165625","9602.72"
"I191531","5401.53"
"I172509","5401.53"
"I338366","15004.25"
"I258930","9602.72"
"I187453","5401.53"
"I749173","9602.72"
"I176751","15004.25"
"I255698","9602.72"
"I572568","9602.72"
"I196493","9602.72"
"I102481","9602.72"
"I340111","9602.72"
"I187159","15004.25"
"I307337","5401.53"
"I187305","5401.53"
"I602106","15004.25"
"I333269","5401.53"
"I240283","9602.72"
"I214040","9602.72"
"I695490","15004.25"
"I172592","5401.53"
"I116064","5401.53"
"I631073","15004.25"
"I316501","9602.72"
"I234239","15004.25"
"I125122","9602.72"
"I264104","9602.72"
"I255446","15004.25"
"I178412","15004.25"
"I306370","9602.72"
"I565725","5401.53"
"I858783","5401.53"
"I168315","5401.53"
"I295604","5401.53"
"I140019","9602.72"
"I299140","15004.25"
"I488609","5401.53"
"I162663","5401.53"
"I163500","15004.25"
"I254078","5401.53"
"I236697","5401.53"
"I760012","15004.25"
"I251648","5401.53"
"I281376","9602.72"
"I420393","9602.72"
"I697021","15004.25"
"I140941","5401.53"
"I132817","15004.25"
"I310772","15004.25"
"I227236","5401.53"
"I332029","5401.53"
"I150992","15004.25"
"I157026","15004.25"
"I330593","15004.25"
"I270089","9602.72"
"I716275","9602.72"
"I123864","5401.53"
"I317330","15004.25"
"I140531","5401.53"
"I113812","9602.72"
"I223875","5401.53"
"I120468","9602.72"
"I114843","9602.72"
"I677367","15004.25"
"I622329","5401.53"
"I226372","9602.72"
"I237041","15004.25"
"I654306","9602.72"
"I283725","15004.25"
"I156748","5401.53"
"I276626","9602.72"
"I337611","9602.72"
"I179301","9602.72"
"I225155","15004.25"
"I237866","15004.25"
"I148577","15004.25"
"I428525","15004.25"
"I572573","5401.53"
"I239588","15004.25"
"I311897","9602.72"
"I769237","15004.25"
"I182236","5401.53"
"I145366","5401.53"
"I274561","9602.72"
"I194729","9602.72"
"I195815","15004.25"
"I177680","5401.53"
"I253195","15004.25"
"I309566","15004.25"
"I338817","9602.72"
"I328692","15004.25"
"I228011","5401.53"
"I128088","5401.53"
"I211985","5401.53"
"I118405","5401.53"
"I809166","15004.25"
"I338987","5401.53"
"I134632","5401.53"
"I186508","5401.53"
"I795476","5401.53"
"I109901","9602.72"
"I249926","9602.72"
"I251930","9602.72"
"I109938","9602.72"
"I108380","5401.53"
"I323790","15004.25"
"I214481","15004.25"
"I271914","5401.53"
"I469098","9602.72"
"I200329","9602.72"
"I244653","9602.72"
"I115916","15004.25"
"I678904","9602.72"
"I230897","15004.25"
"I266672","15004.25"
"I208121","9602.72"
"I107823","15004.25"
"I211868","15004.25"
"I427761","9602.72"
"I214625","9602.72"
"I174518","9602.72"
"I946274","15004.25"
"I847315","9602.72"
"I102268","9602.72"
"I152043","5401.53"
"I305181","9602.72"
"I941707","5401.53"
"I318435","9602.72"
"I241694","9602.72"
"I180909","9602.72"
"I245312","9602.72"
"I762885","5401.53"
"I969507","5401.53"
"I313885","5401.53"
"I169002","15004.25"
"I111807","15004.25"
"I314713","9602.72"
"I240626","15004.25"
"I549259","15004.25"
"I285823","15004.25"
"I169264","5401.53"
"I185018","15004.25"
"I933623","5401.53"
"I179419","15004.25"
"I225904","15004.25"
"I329991","5401.53"
"I292056","5401.53"
"I784128","5401.53"
"I932061","9602.72"
"I339038","5401.53"
"I122453","9602.72"
"I296659","9602.72"
"I261639","15004.25"
"I108695","15004.25"
"I541028","9602.72"
"I410605","9602.72"
"I304108","5401.53"
"I297697","15004.25"
"I319827","9602.72"
"I283373","9602.72"
"I284850","9602.72"
"I588414","5401.53"
"I178019","9602.72"
"I231832","15004.25"
"I117529","9602.72"
"I714753","15004.25"
"I145220","5401.53"
"I264182","9602.72"
"I314064","9602.72"
"I638751","15004.25"
"I178721","15004.25"
"I901575","5401.53"
"I140404","5401.53"
"I324609","9602.72"
"I338238","15004.25"
"I256916","15004.25"
"I107984","15004.25"
"I121484","9602.72"
"I297665","5401.53"
"I313110","5401.53"
"I664233","15004.25"
"I604905","5401.53"
"I181683","5401.53"
"I162614","15004.25"
"I281916","9602.72"
"I871521","9602.72"
"I713117","5401.53"
"I285089","15004.25"
"I225753","5401.53"
"I877397","15004.25"
"I286200","9602.72"
"I217840","15004.25"
"I838650","9602.72"
"I251982","15004.25"
"I155847","5401.53"
"I133545","5401.53"
"I317199","15004.25"
"I302355","15004.25"
"I433335","5401.53"
"I470990","5401.53"
"I284471","15004.25"
"I203033","5401.53"
"I297915","9602.72"
"I263207","15004.25"
"I233226","9602.72"
"I178419","5401.53"
"I296899","15004.25"
"I253375","15004.25"
"I311770","15004.25"
"I309692","15004.25"
"I216045","9602.72"
"I826511","9602.72"
"I391615","5401.53"
"I334902","9602.72"
"I228747","9602.72"
