"invoice_no","Category","Quantity","Revenue","Payment_method","Shopping_Mall"
"I317333","Shoes",3,"5401.53","Debit Card","Forum Istanbul"
"I252275","Technology",5,"26250","Cash","Kanyon"
"I217053","Shoes",4,"9602.72","Cash","Emaar Square Mall"
"I655874","Shoes",3,"5401.53","Cash","Cevahir AVM"
"I826174","Shoes",4,"9602.72","Cash","Metrocity"
"I160777","Technology",4,"16800","Cash","Metrocity"
"I402376","Shoes",5,"15004.25","Cash","Forum Istanbul"
"I276526","Shoes",5,"15004.25","Debit Card","Emaar Square Mall"
"I739573","Clothing",5,"7502","Debit Card","Kanyon"
"I115870","Shoes",4,"9602.72","Cash","Metrocity"
"I140663","Clothing",5,"7502","Cash","Zorlu Center"
"I253242","Shoes",5,"15004.25","Cash","Mall of Istanbul"
"I215998","Clothing",5,"7502","Cash","Cevahir AVM"
"I338966","Clothing",5,"7502","Cash","Mall of Istanbul"
"I157056","Clothing",5,"7502","Cash","Kanyon"
"I103596","Shoes",5,"15004.25","Cash","Kanyon"
"I288152","Technology",3,"9450","Debit Card","Mall of Istanbul"
"I222086","Clothing",5,"7502","Cash","Emaar Square Mall"
"I179048","Technology",3,"9450","Debit Card","Cevahir AVM"
"I151764","Clothing",5,"7502","Cash","Kanyon"
"I737630","Clothing",5,"7502","Cash","Metropol AVM"
"I202398","Shoes",5,"15004.25","Cash","Zorlu Center"
"I139520","Clothing",5,"7502","Cash","Mall of Istanbul"
"I798213","Shoes",3,"5401.53","Cash","Metropol AVM"
"I783231","Clothing",5,"7502","Debit Card","Cevahir AVM"
"I818298","Clothing",5,"7502","Debit Card","Kanyon"
"I120948","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I177201","Clothing",5,"7502","Cash","Forum Istanbul"
"I227707","Shoes",4,"9602.72","Cash","Viaport Outlet"
"I243930","Technology",3,"9450","Debit Card","Istinye Park"
"I320007","Clothing",5,"7502","Debit Card","Metrocity"
"I182578","Shoes",4,"9602.72","Cash","Kanyon"
"I737965","Clothing",5,"7502","Cash","Kanyon"
"I194017","Technology",5,"26250","Cash","Kanyon"
"I998874","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I252528","Technology",5,"26250","Debit Card","Cevahir AVM"
"I147387","Clothing",5,"7502","Cash","Mall of Istanbul"
"I278519","Technology",3,"9450","Debit Card","Cevahir AVM"
"I231070","Clothing",5,"7502","Debit Card","Forum Istanbul"
"I228150","Clothing",5,"7502","Cash","Zorlu Center"
"I215373","Clothing",5,"7502","Debit Card","Kanyon"
"I104404","Shoes",3,"5401.53","Cash","Kanyon"
"I946433","Technology",4,"16800","Debit Card","Kanyon"
"I763131","Clothing",5,"7502","Cash","Mall of Istanbul"
"I730771","Clothing",5,"7502","Debit Card","Metrocity"
"I187160","Shoes",5,"15004.25","Debit Card","Kanyon"
"I108543","Clothing",5,"7502","Debit Card","Viaport Outlet"
"I154490","Clothing",5,"7502","Cash","Mall of Istanbul"
"I648743","Shoes",5,"15004.25","Debit Card","Mall of Istanbul"
"I318521","Clothing",5,"7502","Cash","Mall of Istanbul"
"I263185","Clothing",5,"7502","Cash","Kanyon"
"I311849","Technology",5,"26250","Debit Card","Cevahir AVM"
"I137332","Shoes",4,"9602.72","Cash","Istinye Park"
"I138615","Clothing",5,"7502","Debit Card","Kanyon"
"I332971","Shoes",4,"9602.72","Cash","Istinye Park"
"I169427","Clothing",5,"7502","Cash","Forum Istanbul"
"I295337","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I318625","Technology",5,"26250","Cash","Zorlu Center"
"I180570","Shoes",5,"15004.25","Cash","Metrocity"
"I302151","Technology",4,"16800","Cash","Kanyon"
"I254721","Clothing",5,"7502","Debit Card","Kanyon"
"I103120","Shoes",4,"9602.72","Debit Card","Mall of Istanbul"
"I831916","Clothing",5,"7502","Debit Card","Mall of Istanbul"
"I466698","Shoes",3,"5401.53","Debit Card","Kanyon"
"I119678","Technology",4,"16800","Cash","Emaar Square Mall"
"I133116","Clothing",5,"7502","Debit Card","Kanyon"
"I165625","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I191531","Shoes",3,"5401.53","Cash","Metrocity"
"I172509","Shoes",3,"5401.53","Cash","Mall of Istanbul"
"I338366","Shoes",5,"15004.25","Debit Card","Viaport Outlet"
"I135098","Clothing",5,"7502","Cash","Kanyon"
"I187453","Shoes",3,"5401.53","Cash","Metrocity"
"I301433","Clothing",5,"7502","Cash","Istinye Park"
"I846907","Clothing",5,"7502","Cash","Istinye Park"
"I148039","Technology",4,"16800","Debit Card","Kanyon"
"I255698","Shoes",4,"9602.72","Cash","Metrocity"
"I128008","Clothing",5,"7502","Cash","Mall of Istanbul"
"I834928","Clothing",5,"7502","Debit Card","Emaar Square Mall"
"I722991","Clothing",5,"7502","Cash","Zorlu Center"
"I925190","Clothing",5,"7502","Cash","Metrocity"
"I126253","Clothing",5,"7502","Debit Card","Metrocity"
"I287899","Clothing",5,"7502","Debit Card","Kanyon"
"I322886","Technology",3,"9450","Cash","Istinye Park"
"I128121","Technology",4,"16800","Cash","Metrocity"
"I229909","Clothing",5,"7502","Cash","Viaport Outlet"
"I340111","Shoes",4,"9602.72","Cash","Mall of Istanbul"
"I187159","Shoes",5,"15004.25","Debit Card","Forum Istanbul"
"I307337","Shoes",3,"5401.53","Debit Card","Metropol AVM"
"I187305","Shoes",3,"5401.53","Debit Card","Kanyon"
"I333269","Shoes",3,"5401.53","Debit Card","Viaport Outlet"
